frame,time,predictor,target,n,pearson,spearman
250,200.0,xi_aligned,terminal_eta_translation,32,0.796938492953853,0.3603372434017595
250,200.0,xi_translation,terminal_eta_raw,32,0.9736818631854549,0.8610194931680842
250,200.0,xi_translation,terminal_eta_shape,32,0.7834165723935886,0.38760545327030027
250,200.0,xi_translation,terminal_eta_translation,32,0.9722099423463588,0.87935466125088
250,200.0,abs_alignment_velocity_identity,terminal_eta_raw,32,-0.0077642483629105224,0.3214809384164222
250,200.0,abs_alignment_velocity_identity,terminal_eta_shape,32,0.04416265060780071,0.27089442815249265
250,200.0,abs_alignment_velocity_identity,terminal_eta_translation,32,-0.012506224491123763,0.3214809384164222
250,200.0,abs_alignment_velocity_direct,terminal_eta_raw,32,0.5472824080315083,0.15249266862170086
250,200.0,abs_alignment_velocity_direct,terminal_eta_shape,32,0.6989848427617184,0.2001466275659824
250,200.0,abs_alignment_velocity_direct,terminal_eta_translation,32,0.504985954170793,0.16458944281524926
250,200.0,abs_alignment_velocity_geometry,terminal_eta_raw,32,0.6416283412834662,0.14222873900293254
250,200.0,abs_alignment_velocity_geometry,terminal_eta_shape,32,0.814489887937828,0.23680351906158356
250,200.0,abs_alignment_velocity_geometry,terminal_eta_translation,32,0.59286188422773,0.15139296187683285
